Date,Maker,Model,Quantity
1810-10-16,Remington,model_1,294
1810-10-17,Remington,model_1,294
1810-10-18,Remington,model_1,274
1810-10-19,Remington,model_1,256
1810-10-20,Remington,model_1,259
1810-10-21,Remington,model_1,232
1810-10-22,Remington,model_1,230
1810-10-23,Remington,model_1,214
1810-10-24,Remington,model_1,207
1810-10-25,Remington,model_1,196
1810-10-26,Remington,model_1,207
1810-10-27,Remington,model_1,206
1810-10-28,Remington,model_1,205
1810-10-29,Remington,model_1,207
1810-10-30,Remington,model_1,226
1810-10-31,Remington,model_1,215
1810-11-01,Remington,model_1,206
1810-11-02,Remington,model_1,198
1810-11-03,Remington,model_1,177
1810-11-04,Remington,model_1,167
1810-11-05,Remington,model_1,171
1810-11-06,Remington,model_1,179
1810-11-07,Remington,model_1,159
1810-11-08,Remington,model_1,160
1810-11-09,Remington,model_1,169
1810-11-10,Remington,model_1,161
1810-11-11,Remington,model_1,145
1810-11-12,Remington,model_1,151
1810-11-13,Remington,model_1,160
1810-11-14,Remington,model_1,137
1810-11-15,Remington,model_1,122
1810-11-16,Remington,model_1,132
1810-11-17,Remington,model_1,127
1810-11-18,Remington,model_1,132
1810-11-19,Remington,model_1,111
1810-11-20,Remington,model_1,117
1810-11-21,Remington,model_1,103
1810-11-22,Remington,model_1,130
1810-11-23,Remington,model_1,155
1810-11-24,Remington,model_1,136
1810-11-25,Remington,model_1,125
1810-11-26,Remington,model_1,135
1810-11-27,Remington,model_1,133
1810-11-28,Remington,model_1,144
1810-11-29,Remington,model_1,140
1810-11-30,Remington,model_1,138
1810-12-01,Remington,model_1,145
1810-12-02,Remington,model_1,131
1810-12-03,Remington,model_1,128
1810-12-04,Remington,model_1,108
1810-12-05,Remington,model_1,121
1810-12-06,Remington,model_1,139
1810-12-07,Remington,model_1,142
1810-12-08,Remington,model_1,162
1810-12-09,Remington,model_1,145
1810-12-10,Remington,model_1,147
1810-12-11,Remington,model_1,126
1810-12-12,Remington,model_1,118
1810-12-13,Remington,model_1,108
1810-12-14,Remington,model_1,121
1810-12-15,Remington,model_1,127
1810-12-16,Remington,model_1,133
1810-12-17,Remington,model_1,141
1810-12-18,Remington,model_1,132
1810-12-19,Remington,model_1,140
1810-12-20,Remington,model_1,122
1810-12-21,Remington,model_1,134
1810-12-22,Remington,model_1,137
1810-12-23,Remington,model_1,130
1810-12-24,Remington,model_1,125
1810-12-25,Remington,model_1,132
1810-12-26,Remington,model_1,128
1810-12-27,Remington,model_1,126
1810-12-28,Remington,model_1,175
1810-12-29,Remington,model_1,165
1810-12-30,Remington,model_1,145
1810-12-31,Remington,model_1,167
1811-01-01,Remington,model_1,183
1811-01-02,Remington,model_1,155
1811-01-03,Remington,model_1,164
1811-01-04,Remington,model_1,158
1811-01-05,Remington,model_1,135
1811-01-06,Remington,model_1,136
1811-01-07,Remington,model_1,136
1811-01-08,Remington,model_1,122
1811-01-09,Remington,model_1,122
1811-01-10,Remington,model_1,116
1811-01-11,Remington,model_1,88
1811-01-12,Remington,model_1,101
1811-01-13,Remington,model_1,91
1811-01-14,Remington,model_1,69
1811-01-15,Remington,model_1,78
1811-01-16,Remington,model_1,74
1811-01-17,Remington,model_1,93
1811-01-18,Remington,model_1,113
1811-01-19,Remington,model_1,119
1811-01-20,Remington,model_1,116
1811-01-21,Remington,model_1,112
1811-01-22,Remington,model_1,124
1811-01-23,Remington,model_1,137
1811-01-24,Remington,model_1,163
1811-01-25,Remington,model_1,169
1811-01-26,Remington,model_1,178
1811-01-27,Remington,model_1,190
1811-01-28,Remington,model_1,217
1811-01-29,Remington,model_1,224
1811-01-30,Remington,model_1,190
1811-01-31,Remington,model_1,194
1811-02-01,Remington,model_1,195
1811-02-02,Remington,model_1,174
1811-02-03,Remington,model_1,176
1811-02-04,Remington,model_1,185
1811-02-05,Remington,model_1,199
1811-02-06,Remington,model_1,230
1811-02-07,Remington,model_1,214
1811-02-08,Remington,model_1,195
1811-02-09,Remington,model_1,187
1811-02-10,Remington,model_1,214
1811-02-11,Remington,model_1,234
1811-02-12,Remington,model_1,266
1811-02-13,Remington,model_1,273
1811-02-14,Remington,model_1,271
1811-02-15,Remington,model_1,254
1811-02-16,Remington,model_1,245
1811-02-17,Remington,model_1,281
1811-02-18,Remington,model_1,293
1811-02-19,Remington,model_1,298
1811-02-20,Remington,model_1,299
1811-02-21,Remington,model_1,311
1811-02-22,Remington,model_1,316
1811-02-23,Remington,model_1,306
1811-02-24,Remington,model_1,328
1811-02-25,Remington,model_1,317
1811-02-26,Remington,model_1,310
1811-02-27,Remington,model_1,309
1811-02-28,Remington,model_1,288
1811-03-01,Remington,model_1,308
1811-03-02,Remington,model_1,328
1811-03-03,Remington,model_1,331
1811-03-04,Remington,model_1,296
1811-03-05,Remington,model_1,280
1811-03-06,Remington,model_1,271
1811-03-07,Remington,model_1,233
1811-03-08,Remington,model_1,219
1811-03-09,Remington,model_1,211
1811-03-10,Remington,model_1,218
1811-03-11,Remington,model_1,206
1811-03-12,Remington,model_1,214
1811-03-13,Remington,model_1,212
1811-03-14,Remington,model_1,165
1811-03-15,Remington,model_1,174
1811-03-16,Remington,model_1,176
1811-03-17,Remington,model_1,189
1811-03-18,Remington,model_1,171
1811-03-19,Remington,model_1,152
1811-03-20,Remington,model_1,173
1811-03-21,Remington,model_1,174
1811-03-22,Remington,model_1,153
1811-03-23,Remington,model_1,165
1811-03-24,Remington,model_1,173
1811-03-25,Remington,model_1,165
1811-03-26,Remington,model_1,166
1811-03-27,Remington,model_1,172
1811-03-28,Remington,model_1,168
1811-03-29,Remington,model_1,176
1811-03-30,Remington,model_1,188
1811-03-31,Remington,model_1,178
1811-04-01,Remington,model_1,188
1811-04-02,Remington,model_1,188
1811-04-03,Remington,model_1,171
1811-04-04,Remington,model_1,197
1811-04-05,Remington,model_1,204
1811-04-06,Remington,model_1,207
1811-04-07,Remington,model_1,217
1811-04-08,Remington,model_1,217
1811-04-09,Remington,model_1,227
1811-04-10,Remington,model_1,219
1811-04-11,Remington,model_1,212
1811-04-12,Remington,model_1,220
1811-04-13,Remington,model_1,212
1811-04-14,Remington,model_1,229
1811-04-15,Remington,model_1,210
1811-04-16,Remington,model_1,202
1811-04-17,Remington,model_1,194
1811-04-18,Remington,model_1,178
1811-04-19,Remington,model_1,164
1811-04-20,Remington,model_1,150
1811-04-21,Remington,model_1,162
1811-04-22,Remington,model_1,174
1811-04-23,Remington,model_1,203
1811-04-24,Remington,model_1,202
1811-04-25,Remington,model_1,214
1811-04-26,Remington,model_1,211
1811-04-27,Remington,model_1,207
1811-04-28,Remington,model_1,219
1811-04-29,Remington,model_1,215
1811-04-30,Remington,model_1,218
1811-05-01,Remington,model_1,202
1811-05-02,Remington,model_1,194
1811-05-03,Remington,model_1,217
1811-05-04,Remington,model_1,200
1811-05-05,Remington,model_1,205
1811-05-06,Remington,model_1,197
1811-05-07,Remington,model_1,205
1811-05-08,Remington,model_1,186
1811-05-09,Remington,model_1,205
1811-05-10,Remington,model_1,228
1811-05-11,Remington,model_1,213
1811-05-12,Remington,model_1,202
1811-05-13,Remington,model_1,227
1811-05-14,Remington,model_1,225
1811-05-15,Remington,model_1,247
1811-05-16,Remington,model_1,220
1811-05-17,Remington,model_1,215
1811-05-18,Remington,model_1,234
1811-05-19,Remington,model_1,249
1811-05-20,Remington,model_1,256
1811-05-21,Remington,model_1,265
1811-05-22,Remington,model_1,264
1811-05-23,Remington,model_1,266
1811-05-24,Remington,model_1,247
1811-05-25,Remington,model_1,241
1811-05-26,Remington,model_1,240
1811-05-27,Remington,model_1,234
1811-05-28,Remington,model_1,219
1811-05-29,Remington,model_1,239
1811-05-30,Remington,model_1,252
1811-05-31,Remington,model_1,249
1811-06-01,Remington,model_1,230
1811-06-02,Remington,model_1,228
1811-06-03,Remington,model_1,224
1811-06-04,Remington,model_1,208
1811-06-05,Remington,model_1,208
1811-06-06,Remington,model_1,221
1811-06-07,Remington,model_1,230
1811-06-08,Remington,model_1,247
1811-06-09,Remington,model_1,242
1811-06-10,Remington,model_1,255
1811-06-11,Remington,model_1,245
1811-06-12,Remington,model_1,249
1811-06-13,Remington,model_1,254
1811-06-14,Remington,model_1,233
1811-06-15,Remington,model_1,234
1811-06-16,Remington,model_1,240
1811-06-17,Remington,model_1,217
1811-06-18,Remington,model_1,213
1811-06-19,Remington,model_1,191
1811-06-20,Remington,model_1,178
1811-06-21,Remington,model_1,160
1811-06-22,Remington,model_1,180
1811-06-23,Remington,model_1,176
1811-06-24,Remington,model_1,161
1811-06-25,Remington,model_1,171
1811-06-26,Remington,model_1,141
1811-06-27,Remington,model_1,132
1811-06-28,Remington,model_1,115
1811-06-29,Remington,model_1,140
1811-06-30,Remington,model_1,160
1811-07-01,Remington,model_1,164
1811-07-02,Remington,model_1,176
1811-07-03,Remington,model_1,192
1811-07-04,Remington,model_1,196
1811-07-05,Remington,model_1,199
1811-07-06,Remington,model_1,173
1811-07-07,Remington,model_1,185
1811-07-08,Remington,model_1,187
1811-07-09,Remington,model_1,187
1811-07-10,Remington,model_1,165
1811-07-11,Remington,model_1,184
1811-07-12,Remington,model_1,183
1811-07-13,Remington,model_1,159
1811-07-14,Remington,model_1,143
1811-07-15,Remington,model_1,156
1811-07-16,Remington,model_1,151
1811-07-17,Remington,model_1,148
1811-07-18,Remington,model_1,157
1811-07-19,Remington,model_1,163
1811-07-20,Remington,model_1,173
1811-07-21,Remington,model_1,170
1811-07-22,Remington,model_1,186
1811-07-23,Remington,model_1,188
1811-07-24,Remington,model_1,189
1811-07-25,Remington,model_1,179
1811-07-26,Remington,model_1,167
1811-07-27,Remington,model_1,154
1811-07-28,Remington,model_1,131
1811-07-29,Remington,model_1,134
1811-07-30,Remington,model_1,116
1811-07-31,Remington,model_1,111
1811-08-01,Remington,model_1,98
1811-08-02,Remington,model_1,96
1811-08-03,Remington,model_1,147
1811-08-04,Remington,model_1,148
1811-08-05,Remington,model_1,139
1811-08-06,Remington,model_1,146
1811-08-07,Remington,model_1,154
1811-08-08,Remington,model_1,156
1811-08-09,Remington,model_1,153
1811-08-10,Remington,model_1,168
1811-08-11,Remington,model_1,160
1811-08-12,Remington,model_1,173
1811-08-13,Remington,model_1,159
1811-08-14,Remington,model_1,145
1811-08-15,Remington,model_1,154
1811-08-16,Remington,model_1,147
1811-08-17,Remington,model_1,142
1811-08-18,Remington,model_1,129
1811-08-19,Remington,model_1,127
1811-08-20,Remington,model_1,133
1811-08-21,Remington,model_1,117
1811-08-22,Remington,model_1,130
1811-08-23,Remington,model_1,115
1811-08-24,Remington,model_1,124
1811-08-25,Remington,model_1,125
1811-08-26,Remington,model_1,126
1811-08-27,Remington,model_1,120
1811-08-28,Remington,model_1,136
1811-08-29,Remington,model_1,157
1811-08-30,Remington,model_1,157
1811-08-31,Remington,model_1,179
1811-09-01,Remington,model_1,191
1811-09-02,Remington,model_1,217
1811-09-03,Remington,model_1,227
1811-09-04,Remington,model_1,235
1811-09-05,Remington,model_1,238
1811-09-06,Remington,model_1,253
1811-09-07,Remington,model_1,253
1811-09-08,Remington,model_1,274
1811-09-09,Remington,model_1,256
1811-09-10,Remington,model_1,253
1811-09-11,Remington,model_1,264
1811-09-12,Remington,model_1,281
1811-09-13,Remington,model_1,289
1811-09-14,Remington,model_1,259
1811-09-15,Remington,model_1,261
1811-09-16,Remington,model_1,265
1811-09-17,Remington,model_1,254
1811-09-18,Remington,model_1,288
1811-09-19,Remington,model_1,294
1811-09-20,Remington,model_1,295
1811-09-21,Remington,model_1,275
1811-09-22,Remington,model_1,270
1811-09-23,Remington,model_1,269
1811-09-24,Remington,model_1,257
1811-09-25,Remington,model_1,250
1811-09-26,Remington,model_1,262
1811-09-27,Remington,model_1,286
1811-09-28,Remington,model_1,292
1811-09-29,Remington,model_1,287
1811-09-30,Remington,model_1,303
1811-10-01,Remington,model_1,298
1811-10-02,Remington,model_1,300
1811-10-03,Remington,model_1,292
1811-10-04,Remington,model_1,313
1811-10-05,Remington,model_1,315
1811-10-06,Remington,model_1,308
1811-10-07,Remington,model_1,292
1811-10-08,Remington,model_1,308
1811-10-09,Remington,model_1,314
1811-10-10,Remington,model_1,330
1811-10-11,Remington,model_1,352
1811-10-12,Remington,model_1,378
1811-10-13,Remington,model_1,401
1811-10-14,Remington,model_1,409
1811-10-15,Remington,model_1,428
1811-10-16,Remington,model_1,421
1811-10-17,Remington,model_1,427
1811-10-18,Remington,model_1,422
1811-10-19,Remington,model_1,421
1811-10-20,Remington,model_1,417
1811-10-21,Remington,model_1,425
1811-10-22,Remington,model_1,438
1811-10-23,Remington,model_1,466
1811-10-24,Remington,model_1,456
1811-10-25,Remington,model_1,443
1811-10-26,Remington,model_1,449
1811-10-27,Remington,model_1,465
1811-10-28,Remington,model_1,455
1811-10-29,Remington,model_1,449
1811-10-30,Remington,model_1,456
1811-10-31,Remington,model_1,460
1811-11-01,Remington,model_1,452
1811-11-02,Remington,model_1,477
1811-11-03,Remington,model_1,471
1811-11-04,Remington,model_1,466
1811-11-05,Remington,model_1,437
1811-11-06,Remington,model_1,443
1811-11-07,Remington,model_1,447
1811-11-08,Remington,model_1,455
1811-11-09,Remington,model_1,429
1811-11-10,Remington,model_1,424
1811-11-11,Remington,model_1,412
1811-11-12,Remington,model_1,420
1811-11-13,Remington,model_1,401
1811-11-14,Remington,model_1,385
1811-11-15,Remington,model_1,381
1811-11-16,Remington,model_1,379
1811-11-17,Remington,model_1,393
1811-11-18,Remington,model_1,386
1811-11-19,Remington,model_1,377
1811-11-20,Remington,model_1,380
1811-11-21,Remington,model_1,407
1811-11-22,Remington,model_1,414
1811-11-23,Remington,model_1,411
1811-11-24,Remington,model_1,424
1811-11-25,Remington,model_1,412
1811-11-26,Remington,model_1,419
1811-11-27,Remington,model_1,387
1811-11-28,Remington,model_1,396
1811-11-29,Remington,model_1,360
1811-11-30,Remington,model_1,387
1811-12-01,Remington,model_1,377
1811-12-02,Remington,model_1,379
1811-12-03,Remington,model_1,386
1811-12-04,Remington,model_1,382
1811-12-05,Remington,model_1,388
1811-12-06,Remington,model_1,364
1811-12-07,Remington,model_1,364
1811-12-08,Remington,model_1,362
1811-12-09,Remington,model_1,365
1811-12-10,Remington,model_1,366
1811-12-11,Remington,model_1,350
1811-12-12,Remington,model_1,380
1811-12-13,Remington,model_1,380
1811-12-14,Remington,model_1,372
1811-12-15,Remington,model_1,383
1811-12-16,Remington,model_1,385
1811-12-17,Remington,model_1,361
1811-12-18,Remington,model_1,341
1811-12-19,Remington,model_1,336
1811-12-20,Remington,model_1,334
1811-12-21,Remington,model_1,313
1811-12-22,Remington,model_1,321
1811-12-23,Remington,model_1,292
1811-12-24,Remington,model_1,262
1811-12-25,Remington,model_1,270
1811-12-26,Remington,model_1,249
1811-12-27,Remington,model_1,251
1811-12-28,Remington,model_1,263
1811-12-29,Remington,model_1,268
1811-12-30,Remington,model_1,225
1811-12-31,Remington,model_1,221
1812-01-01,Remington,model_1,216
1812-01-02,Remington,model_1,247
1812-01-03,Remington,model_1,224
1812-01-04,Remington,model_1,213
1812-01-05,Remington,model_1,218
1812-01-06,Remington,model_1,231
1812-01-07,Remington,model_1,219
1812-01-08,Remington,model_1,207
1812-01-09,Remington,model_1,187
1812-01-10,Remington,model_1,205
1812-01-11,Remington,model_1,185
1812-01-12,Remington,model_1,188
1812-01-13,Remington,model_1,182
1812-01-14,Remington,model_1,146
1812-01-15,Remington,model_1,165
1812-01-16,Remington,model_1,144
1812-01-17,Remington,model_1,144
1812-01-18,Remington,model_1,128
1812-01-19,Remington,model_1,142
1812-01-20,Remington,model_1,140
1812-01-21,Remington,model_1,145
1812-01-22,Remington,model_1,146
1812-01-23,Remington,model_1,114
1812-01-24,Remington,model_1,131
1812-01-25,Remington,model_1,131
1812-01-26,Remington,model_1,140
1812-01-27,Remington,model_1,156
1812-01-28,Remington,model_1,153
1812-01-29,Remington,model_1,147
1812-01-30,Remington,model_1,139
1812-01-31,Remington,model_1,117
1812-02-01,Remington,model_1,134
1812-02-02,Remington,model_1,166
1812-02-03,Remington,model_1,158
1812-02-04,Remington,model_1,169
1812-02-05,Remington,model_1,171
1812-02-06,Remington,model_1,183
1812-02-07,Remington,model_1,178
1812-02-08,Remington,model_1,185
1812-02-09,Remington,model_1,211
1812-02-10,Remington,model_1,210
1812-02-11,Remington,model_1,220
1812-02-12,Remington,model_1,209
1812-02-13,Remington,model_1,201
1812-02-14,Remington,model_1,195
1812-02-15,Remington,model_1,202
1812-02-16,Remington,model_1,214
1812-02-17,Remington,model_1,192
1812-02-18,Remington,model_1,204
1812-02-19,Remington,model_1,204
1812-02-20,Remington,model_1,191
1812-02-21,Remington,model_1,217
1812-02-22,Remington,model_1,180
1812-02-23,Remington,model_1,188
1812-02-24,Remington,model_1,173
1812-02-25,Remington,model_1,174
1812-02-26,Remington,model_1,159
1812-02-27,Remington,model_1,139
1812-02-28,Remington,model_1,125
1812-02-29,Remington,model_1,129
1812-03-01,Remington,model_1,127
1812-03-02,Remington,model_1,139
1812-03-03,Remington,model_1,124
1812-03-04,Remington,model_1,119
1812-03-05,Remington,model_1,119
1812-03-06,Remington,model_1,119
1812-03-07,Remington,model_1,125
1812-03-08,Remington,model_1,130
1812-03-09,Remington,model_1,132
1812-03-10,Remington,model_1,124
1812-03-11,Remington,model_1,141
1812-03-12,Remington,model_1,112
1812-03-13,Remington,model_1,109
1812-03-14,Remington,model_1,108
1812-03-15,Remington,model_1,87
1812-03-16,Remington,model_1,93
1812-03-17,Remington,model_1,65
1812-03-18,Remington,model_1,43
1812-03-19,Remington,model_1,35
1812-03-20,Remington,model_1,34
1812-03-21,Remington,model_1,50
1812-03-22,Remington,model_1,50
1812-03-23,Remington,model_1,38
1812-03-24,Remington,model_1,28
1812-03-25,Remington,model_1,22
1812-03-26,Remington,model_1,50
1812-03-27,Remington,model_1,68
1812-03-28,Remington,model_1,54
1812-03-29,Remington,model_1,33
1812-03-30,Remington,model_1,38
1812-03-31,Remington,model_1,42
