Date,Maker,Model,Bullets,Channel,Quantity
1810-02-16,Remington,model_1,bullets_A,TF,15
1810-02-17,Remington,model_1,bullets_A,TF,15
1810-02-18,Remington,model_1,bullets_A,TF,17
1810-02-19,Remington,model_1,bullets_A,TF,17
1810-02-20,Remington,model_1,bullets_A,TF,18
1810-02-21,Remington,model_1,bullets_A,TF,17
1810-02-22,Remington,model_1,bullets_A,TF,16
1810-02-23,Remington,model_1,bullets_A,TF,16
1810-02-24,Remington,model_1,bullets_A,TF,15
1810-02-25,Remington,model_1,bullets_A,TF,14
1810-02-26,Remington,model_1,bullets_A,TF,15
1810-02-27,Remington,model_1,bullets_A,TF,14
1810-02-28,Remington,model_1,bullets_A,TF,14
1810-03-01,Remington,model_1,bullets_A,TF,13
1810-03-02,Remington,model_1,bullets_A,TF,11
1810-03-03,Remington,model_1,bullets_A,TF,10
1810-03-04,Remington,model_1,bullets_A,TF,9
1810-03-05,Remington,model_1,bullets_A,TF,9
1810-03-06,Remington,model_1,bullets_A,TF,8
1810-03-07,Remington,model_1,bullets_A,TF,6
1810-03-08,Remington,model_1,bullets_A,TF,7
1810-03-09,Remington,model_1,bullets_A,TF,7
1810-03-10,Remington,model_1,bullets_A,TF,8
1810-03-11,Remington,model_1,bullets_A,TF,5
1810-03-12,Remington,model_1,bullets_A,TF,6
1810-03-13,Remington,model_1,bullets_A,TF,5
1810-03-14,Remington,model_1,bullets_A,TF,5
1810-03-15,Remington,model_1,bullets_A,TF,4
1810-03-16,Remington,model_1,bullets_A,TF,3
1810-03-17,Remington,model_1,bullets_A,TF,2
1810-03-18,Remington,model_1,bullets_A,TF,3
1810-03-19,Remington,model_1,bullets_A,TF,3
1810-03-20,Remington,model_1,bullets_A,TF,4
1810-03-21,Remington,model_1,bullets_A,TF,4
1810-03-22,Remington,model_1,bullets_A,TF,3
1810-03-23,Remington,model_1,bullets_A,TF,2
1810-03-24,Remington,model_1,bullets_A,TF,1
1810-03-25,Remington,model_1,bullets_A,TF,4
1810-03-26,Remington,model_1,bullets_A,TF,4
1810-03-27,Remington,model_1,bullets_A,TF,5
1810-03-28,Remington,model_1,bullets_A,TF,6
1810-03-29,Remington,model_1,bullets_A,TF,8
1810-03-30,Remington,model_1,bullets_A,TF,9
1810-03-31,Remington,model_1,bullets_A,TF,9
1810-04-01,Remington,model_1,bullets_A,TF,13
1810-04-02,Remington,model_1,bullets_A,TF,13
1810-04-03,Remington,model_1,bullets_A,TF,13
1810-04-04,Remington,model_1,bullets_A,TF,12
1810-04-05,Remington,model_1,bullets_A,TF,12
1810-04-06,Remington,model_1,bullets_A,TF,12
1810-04-07,Remington,model_1,bullets_A,TF,11
1810-04-08,Remington,model_1,bullets_A,TF,10
1810-04-09,Remington,model_1,bullets_A,TF,10
1810-04-10,Remington,model_1,bullets_A,TF,10
1810-04-11,Remington,model_1,bullets_A,TF,12
1810-04-12,Remington,model_1,bullets_A,TF,10
1810-04-13,Remington,model_1,bullets_A,TF,9
1810-04-14,Remington,model_1,bullets_A,TF,11
1810-04-15,Remington,model_1,bullets_A,TF,7
1810-04-16,Remington,model_1,bullets_A,TF,7
1810-04-17,Remington,model_1,bullets_A,TF,8
1810-04-18,Remington,model_1,bullets_A,TF,9
1810-04-19,Remington,model_1,bullets_A,TF,9
1810-04-20,Remington,model_1,bullets_A,TF,8
1810-04-21,Remington,model_1,bullets_A,TF,8
1810-04-22,Remington,model_1,bullets_A,TF,8
1810-04-23,Remington,model_1,bullets_A,TF,9
1810-04-24,Remington,model_1,bullets_A,TF,11
1810-04-25,Remington,model_1,bullets_A,TF,9
1810-04-26,Remington,model_1,bullets_A,TF,9
1810-04-27,Remington,model_1,bullets_A,TF,8
1810-04-28,Remington,model_1,bullets_A,TF,9
1810-04-29,Remington,model_1,bullets_A,TF,9
1810-04-30,Remington,model_1,bullets_A,TF,8
1810-05-01,Remington,model_1,bullets_A,TF,10
1810-05-02,Remington,model_1,bullets_A,TF,11
1810-05-03,Remington,model_1,bullets_A,TF,11
1810-05-04,Remington,model_1,bullets_A,TF,11
1810-05-05,Remington,model_1,bullets_A,TF,10
1810-05-06,Remington,model_1,bullets_A,TF,11
1810-05-07,Remington,model_1,bullets_A,TF,11
1810-05-08,Remington,model_1,bullets_A,TF,10
1810-05-09,Remington,model_1,bullets_A,TF,12
1810-05-10,Remington,model_1,bullets_A,TF,10
1810-05-11,Remington,model_1,bullets_A,TF,10
1810-05-12,Remington,model_1,bullets_A,TF,13
1810-05-13,Remington,model_1,bullets_A,TF,13
1810-05-14,Remington,model_1,bullets_A,TF,12
1810-05-15,Remington,model_1,bullets_A,TF,11
1810-05-16,Remington,model_1,bullets_A,TF,10
1810-05-17,Remington,model_1,bullets_A,TF,9
1810-05-18,Remington,model_1,bullets_A,TF,9
1810-05-19,Remington,model_1,bullets_A,TF,8
1810-05-20,Remington,model_1,bullets_A,TF,11
1810-05-21,Remington,model_1,bullets_A,TF,11
1810-05-22,Remington,model_1,bullets_A,TF,10
1810-05-23,Remington,model_1,bullets_A,TF,10
1810-05-24,Remington,model_1,bullets_A,TF,9
1810-05-25,Remington,model_1,bullets_A,TF,8
1810-05-26,Remington,model_1,bullets_A,TF,8
1810-05-27,Remington,model_1,bullets_A,TF,7
1810-05-28,Remington,model_1,bullets_A,TF,6
1810-05-29,Remington,model_1,bullets_A,TF,6
1810-05-30,Remington,model_1,bullets_A,TF,5
1810-05-31,Remington,model_1,bullets_A,TF,3
1810-06-01,Remington,model_1,bullets_A,TF,6
1810-06-02,Remington,model_1,bullets_A,TF,4
1810-06-03,Remington,model_1,bullets_A,TF,5
1810-06-04,Remington,model_1,bullets_A,TF,7
1810-06-05,Remington,model_1,bullets_A,TF,9
1810-06-06,Remington,model_1,bullets_A,TF,7
1810-06-07,Remington,model_1,bullets_A,TF,10
1810-06-08,Remington,model_1,bullets_A,TF,13
1810-06-09,Remington,model_1,bullets_A,TF,11
1810-06-10,Remington,model_1,bullets_A,TF,13
1810-06-11,Remington,model_1,bullets_A,TF,13
1810-06-12,Remington,model_1,bullets_A,TF,12
1810-06-13,Remington,model_1,bullets_A,TF,10
1810-06-14,Remington,model_1,bullets_A,TF,9
1810-06-15,Remington,model_1,bullets_A,TF,10
1810-06-16,Remington,model_1,bullets_A,TF,10
1810-06-17,Remington,model_1,bullets_A,TF,9
1810-06-18,Remington,model_1,bullets_A,TF,7
1810-06-19,Remington,model_1,bullets_A,TF,6
1810-06-20,Remington,model_1,bullets_A,TF,5
1810-06-21,Remington,model_1,bullets_A,TF,7
1810-06-22,Remington,model_1,bullets_A,TF,9
1810-06-23,Remington,model_1,bullets_A,TF,9
1810-06-24,Remington,model_1,bullets_A,TF,10
1810-06-25,Remington,model_1,bullets_A,TF,11
1810-06-26,Remington,model_1,bullets_A,TF,13
1810-06-27,Remington,model_1,bullets_A,TF,14
1810-06-28,Remington,model_1,bullets_A,TF,13
1810-06-29,Remington,model_1,bullets_A,TF,14
1810-06-30,Remington,model_1,bullets_A,TF,15
1810-07-01,Remington,model_1,bullets_A,TF,13
1810-07-02,Remington,model_1,bullets_A,TF,14
1810-07-03,Remington,model_1,bullets_A,TF,13
1810-07-04,Remington,model_1,bullets_A,TF,12
1810-07-05,Remington,model_1,bullets_A,TF,12
1810-07-06,Remington,model_1,bullets_A,TF,11
1810-07-07,Remington,model_1,bullets_A,TF,10
1810-07-08,Remington,model_1,bullets_A,TF,9
1810-07-09,Remington,model_1,bullets_A,TF,11
1810-07-10,Remington,model_1,bullets_A,TF,9
1810-07-11,Remington,model_1,bullets_A,TF,9
1810-07-12,Remington,model_1,bullets_A,TF,9
1810-07-13,Remington,model_1,bullets_A,TF,9
1810-07-14,Remington,model_1,bullets_A,TF,9
1810-07-15,Remington,model_1,bullets_A,TF,9
1810-07-16,Remington,model_1,bullets_A,TF,9
1810-07-17,Remington,model_1,bullets_A,TF,8
1810-07-18,Remington,model_1,bullets_A,TF,9
1810-07-19,Remington,model_1,bullets_A,TF,9
1810-07-20,Remington,model_1,bullets_A,TF,10
1810-07-21,Remington,model_1,bullets_A,TF,11
1810-07-22,Remington,model_1,bullets_A,TF,13
1810-07-23,Remington,model_1,bullets_A,TF,11
1810-07-24,Remington,model_1,bullets_A,TF,11
1810-07-25,Remington,model_1,bullets_A,TF,12
1810-07-26,Remington,model_1,bullets_A,TF,13
1810-07-27,Remington,model_1,bullets_A,TF,17
1810-07-28,Remington,model_1,bullets_A,TF,14
1810-07-29,Remington,model_1,bullets_A,TF,15
1810-07-30,Remington,model_1,bullets_A,TF,17
1810-07-31,Remington,model_1,bullets_A,TF,19
1810-08-01,Remington,model_1,bullets_A,TF,17
1810-08-02,Remington,model_1,bullets_A,TF,17
1810-08-03,Remington,model_1,bullets_A,TF,17
1810-08-04,Remington,model_1,bullets_A,TF,18
1810-08-05,Remington,model_1,bullets_A,TF,17
1810-08-06,Remington,model_1,bullets_A,TF,17
1810-08-07,Remington,model_1,bullets_A,TF,16
1810-08-08,Remington,model_1,bullets_A,TF,15
1810-08-09,Remington,model_1,bullets_A,TF,16
1810-08-10,Remington,model_1,bullets_A,TF,17
1810-08-11,Remington,model_1,bullets_A,TF,16
1810-08-12,Remington,model_1,bullets_A,TF,14
1810-08-13,Remington,model_1,bullets_A,TF,13
1810-08-14,Remington,model_1,bullets_A,TF,10
1810-08-15,Remington,model_1,bullets_A,TF,12
1810-08-16,Remington,model_1,bullets_A,TF,12
1810-08-17,Remington,model_1,bullets_A,TF,10
1810-08-18,Remington,model_1,bullets_A,TF,9
1810-08-19,Remington,model_1,bullets_A,TF,7
1810-08-20,Remington,model_1,bullets_A,TF,7
1810-08-21,Remington,model_1,bullets_A,TF,7
1810-08-22,Remington,model_1,bullets_A,TF,6
1810-08-23,Remington,model_1,bullets_A,TF,8
1810-08-24,Remington,model_1,bullets_A,TF,7
1810-08-25,Remington,model_1,bullets_A,TF,8
1810-08-26,Remington,model_1,bullets_A,TF,9
1810-08-27,Remington,model_1,bullets_A,TF,9
1810-08-28,Remington,model_1,bullets_A,TF,9
1810-08-29,Remington,model_1,bullets_A,TF,9
1810-08-30,Remington,model_1,bullets_A,TF,9
1810-08-31,Remington,model_1,bullets_A,TF,10
1810-09-01,Remington,model_1,bullets_A,TF,10
1810-09-02,Remington,model_1,bullets_A,TF,8
1810-09-03,Remington,model_1,bullets_A,TF,11
1810-09-04,Remington,model_1,bullets_A,TF,10
1810-09-05,Remington,model_1,bullets_A,TF,12
1810-09-06,Remington,model_1,bullets_A,TF,14
1810-09-07,Remington,model_1,bullets_A,TF,16
1810-09-08,Remington,model_1,bullets_A,TF,15
1810-09-09,Remington,model_1,bullets_A,TF,14
1810-09-10,Remington,model_1,bullets_A,TF,16
1810-09-11,Remington,model_1,bullets_A,TF,16
1810-09-12,Remington,model_1,bullets_A,TF,18
1810-09-13,Remington,model_1,bullets_A,TF,18
1810-09-14,Remington,model_1,bullets_A,TF,16
1810-09-15,Remington,model_1,bullets_A,TF,17
1810-09-16,Remington,model_1,bullets_A,TF,17
1810-09-17,Remington,model_1,bullets_A,TF,17
1810-09-18,Remington,model_1,bullets_A,TF,17
1810-09-19,Remington,model_1,bullets_A,TF,16
1810-09-20,Remington,model_1,bullets_A,TF,12
1810-09-21,Remington,model_1,bullets_A,TF,14
1810-09-22,Remington,model_1,bullets_A,TF,16
1810-09-23,Remington,model_1,bullets_A,TF,17
1810-09-24,Remington,model_1,bullets_A,TF,16
1810-09-25,Remington,model_1,bullets_A,TF,18
1810-09-26,Remington,model_1,bullets_A,TF,19
1810-09-27,Remington,model_1,bullets_A,TF,18
1810-09-28,Remington,model_1,bullets_A,TF,20
1810-09-29,Remington,model_1,bullets_A,TF,18
1810-09-30,Remington,model_1,bullets_A,TF,18
1810-10-01,Remington,model_1,bullets_A,TF,16
1810-10-02,Remington,model_1,bullets_A,TF,16
1810-10-03,Remington,model_1,bullets_A,TF,16
1810-10-04,Remington,model_1,bullets_A,TF,16
1810-10-05,Remington,model_1,bullets_A,TF,17
1810-10-06,Remington,model_1,bullets_A,TF,14
1810-10-07,Remington,model_1,bullets_A,TF,12
1810-10-08,Remington,model_1,bullets_A,TF,13
1810-10-09,Remington,model_1,bullets_A,TF,11
1810-10-10,Remington,model_1,bullets_A,TF,11
1810-10-11,Remington,model_1,bullets_A,TF,11
1810-10-12,Remington,model_1,bullets_A,TF,10
1810-10-13,Remington,model_1,bullets_A,TF,10
1810-10-14,Remington,model_1,bullets_A,TF,10
1810-10-15,Remington,model_1,bullets_A,TF,9
1810-10-16,Remington,model_1,bullets_A,TF,10
1810-10-17,Remington,model_1,bullets_A,TF,12
1810-10-18,Remington,model_1,bullets_A,TF,14
1810-10-19,Remington,model_1,bullets_A,TF,12
1810-10-20,Remington,model_1,bullets_A,TF,11
1810-10-21,Remington,model_1,bullets_A,TF,9
1810-10-22,Remington,model_1,bullets_A,TF,9
1810-10-23,Remington,model_1,bullets_A,TF,9
1810-10-24,Remington,model_1,bullets_A,TF,11
1810-10-25,Remington,model_1,bullets_A,TF,10
1810-10-26,Remington,model_1,bullets_A,TF,9
1810-10-27,Remington,model_1,bullets_A,TF,7
1810-10-28,Remington,model_1,bullets_A,TF,7
1810-10-29,Remington,model_1,bullets_A,TF,5
1810-10-30,Remington,model_1,bullets_A,TF,7
1810-10-31,Remington,model_1,bullets_A,TF,7
1810-11-01,Remington,model_1,bullets_A,TF,4
1810-11-02,Remington,model_1,bullets_A,TF,6
1810-11-03,Remington,model_1,bullets_A,TF,6
1810-11-04,Remington,model_1,bullets_A,TF,6
1810-11-05,Remington,model_1,bullets_A,TF,8
1810-11-06,Remington,model_1,bullets_A,TF,8
1810-11-07,Remington,model_1,bullets_A,TF,6
1810-11-08,Remington,model_1,bullets_A,TF,7
1810-11-09,Remington,model_1,bullets_A,TF,8
1810-11-10,Remington,model_1,bullets_A,TF,9
1810-11-11,Remington,model_1,bullets_A,TF,9
1810-11-12,Remington,model_1,bullets_A,TF,10
1810-11-13,Remington,model_1,bullets_A,TF,10
1810-11-14,Remington,model_1,bullets_A,TF,10
1810-11-15,Remington,model_1,bullets_A,TF,9
1810-11-16,Remington,model_1,bullets_A,TF,9
1810-11-17,Remington,model_1,bullets_A,TF,10
1810-11-18,Remington,model_1,bullets_A,TF,11
1810-11-19,Remington,model_1,bullets_A,TF,15
1810-11-20,Remington,model_1,bullets_A,TF,14
1810-11-21,Remington,model_1,bullets_A,TF,14
1810-11-22,Remington,model_1,bullets_A,TF,15
1810-11-23,Remington,model_1,bullets_A,TF,17
1810-11-24,Remington,model_1,bullets_A,TF,17
1810-11-25,Remington,model_1,bullets_A,TF,17
1810-11-26,Remington,model_1,bullets_A,TF,16
1810-11-27,Remington,model_1,bullets_A,TF,17
1810-11-28,Remington,model_1,bullets_A,TF,15
1810-11-29,Remington,model_1,bullets_A,TF,15
1810-11-30,Remington,model_1,bullets_A,TF,15
1810-12-01,Remington,model_1,bullets_A,TF,17
1810-12-02,Remington,model_1,bullets_A,TF,16
1810-12-03,Remington,model_1,bullets_A,TF,18
1810-12-04,Remington,model_1,bullets_A,TF,16
1810-12-05,Remington,model_1,bullets_A,TF,17
1810-12-06,Remington,model_1,bullets_A,TF,19
1810-12-07,Remington,model_1,bullets_A,TF,20
1810-12-08,Remington,model_1,bullets_A,TF,20
1810-12-09,Remington,model_1,bullets_A,TF,22
1810-12-10,Remington,model_1,bullets_A,TF,21
1810-12-11,Remington,model_1,bullets_A,TF,20
1810-12-12,Remington,model_1,bullets_A,TF,19
1810-12-13,Remington,model_1,bullets_A,TF,20
1810-12-14,Remington,model_1,bullets_A,TF,22
1810-12-15,Remington,model_1,bullets_A,TF,22
1810-12-16,Remington,model_1,bullets_A,TF,22
1810-12-17,Remington,model_1,bullets_A,TF,22
1810-12-18,Remington,model_1,bullets_A,TF,24
1810-12-19,Remington,model_1,bullets_A,TF,24
1810-12-20,Remington,model_1,bullets_A,TF,23
1810-12-21,Remington,model_1,bullets_A,TF,22
1810-12-22,Remington,model_1,bullets_A,TF,22
1810-12-23,Remington,model_1,bullets_A,TF,23
1810-12-24,Remington,model_1,bullets_A,TF,23
1810-12-25,Remington,model_1,bullets_A,TF,22
1810-12-26,Remington,model_1,bullets_A,TF,22
1810-12-27,Remington,model_1,bullets_A,TF,22
1810-12-28,Remington,model_1,bullets_A,TF,23
1810-12-29,Remington,model_1,bullets_A,TF,22
1810-12-30,Remington,model_1,bullets_A,TF,21
1810-12-31,Remington,model_1,bullets_A,TF,22
1811-01-01,Remington,model_1,bullets_A,TF,22
1811-01-02,Remington,model_1,bullets_A,TF,22
1811-01-03,Remington,model_1,bullets_A,TF,25
1811-01-04,Remington,model_1,bullets_A,TF,25
1811-01-05,Remington,model_1,bullets_A,TF,26
1811-01-06,Remington,model_1,bullets_A,TF,27
1811-01-07,Remington,model_1,bullets_A,TF,27
1811-01-08,Remington,model_1,bullets_A,TF,27
1811-01-09,Remington,model_1,bullets_A,TF,26
1811-01-10,Remington,model_1,bullets_A,TF,27
1811-01-11,Remington,model_1,bullets_A,TF,27
1811-01-12,Remington,model_1,bullets_A,TF,26
1811-01-13,Remington,model_1,bullets_A,TF,26
1811-01-14,Remington,model_1,bullets_A,TF,26
1811-01-15,Remington,model_1,bullets_A,TF,26
1811-01-16,Remington,model_1,bullets_A,TF,26
1811-01-17,Remington,model_1,bullets_A,TF,26
1811-01-18,Remington,model_1,bullets_A,TF,26
1811-01-19,Remington,model_1,bullets_A,TF,26
1811-01-20,Remington,model_1,bullets_A,TF,26
1811-01-21,Remington,model_1,bullets_A,TF,27
1811-01-22,Remington,model_1,bullets_A,TF,28
1811-01-23,Remington,model_1,bullets_A,TF,29
1811-01-24,Remington,model_1,bullets_A,TF,29
1811-01-25,Remington,model_1,bullets_A,TF,29
1811-01-26,Remington,model_1,bullets_A,TF,31
1811-01-27,Remington,model_1,bullets_A,TF,30
1811-01-28,Remington,model_1,bullets_A,TF,29
1811-01-29,Remington,model_1,bullets_A,TF,29
1811-01-30,Remington,model_1,bullets_A,TF,28
1811-01-31,Remington,model_1,bullets_A,TF,32
1811-02-01,Remington,model_1,bullets_A,TF,32
1811-02-02,Remington,model_1,bullets_A,TF,33
1811-02-03,Remington,model_1,bullets_A,TF,32
1811-02-04,Remington,model_1,bullets_A,TF,33
1811-02-05,Remington,model_1,bullets_A,TF,32
1811-02-06,Remington,model_1,bullets_A,TF,30
1811-02-07,Remington,model_1,bullets_A,TF,32
1811-02-08,Remington,model_1,bullets_A,TF,32
1811-02-09,Remington,model_1,bullets_A,TF,31
1811-02-10,Remington,model_1,bullets_A,TF,34
1811-02-11,Remington,model_1,bullets_A,TF,32
1811-02-12,Remington,model_1,bullets_A,TF,31
1811-02-13,Remington,model_1,bullets_A,TF,33
1811-02-14,Remington,model_1,bullets_A,TF,33
1811-02-15,Remington,model_1,bullets_A,TF,33
1811-02-16,Remington,model_1,bullets_A,TF,34
1811-02-17,Remington,model_1,bullets_A,TF,34
1811-02-18,Remington,model_1,bullets_A,TF,34
1811-02-19,Remington,model_1,bullets_A,TF,32
1811-02-20,Remington,model_1,bullets_A,TF,33
1811-02-21,Remington,model_1,bullets_A,TF,31
1811-02-22,Remington,model_1,bullets_A,TF,32
1811-02-23,Remington,model_1,bullets_A,TF,33
1811-02-24,Remington,model_1,bullets_A,TF,35
1811-02-25,Remington,model_1,bullets_A,TF,36
1811-02-26,Remington,model_1,bullets_A,TF,37
1811-02-27,Remington,model_1,bullets_A,TF,36
1811-02-28,Remington,model_1,bullets_A,TF,34
1811-03-01,Remington,model_1,bullets_A,TF,33
1811-03-02,Remington,model_1,bullets_A,TF,33
1811-03-03,Remington,model_1,bullets_A,TF,34
1811-03-04,Remington,model_1,bullets_A,TF,33
1811-03-05,Remington,model_1,bullets_A,TF,32
1811-03-06,Remington,model_1,bullets_A,TF,33
1811-03-07,Remington,model_1,bullets_A,TF,32
1811-03-08,Remington,model_1,bullets_A,TF,30
1811-03-09,Remington,model_1,bullets_A,TF,29
1811-03-10,Remington,model_1,bullets_A,TF,32
1811-03-11,Remington,model_1,bullets_A,TF,31
1811-03-12,Remington,model_1,bullets_A,TF,30
1811-03-13,Remington,model_1,bullets_A,TF,31
1811-03-14,Remington,model_1,bullets_A,TF,31
1811-03-15,Remington,model_1,bullets_A,TF,31
1811-03-16,Remington,model_1,bullets_A,TF,33
1811-03-17,Remington,model_1,bullets_A,TF,33
1811-03-18,Remington,model_1,bullets_A,TF,31
1811-03-19,Remington,model_1,bullets_A,TF,30
1811-03-20,Remington,model_1,bullets_A,TF,30
1811-03-21,Remington,model_1,bullets_A,TF,30
1811-03-22,Remington,model_1,bullets_A,TF,31
1811-03-23,Remington,model_1,bullets_A,TF,30
1811-03-24,Remington,model_1,bullets_A,TF,30
1811-03-25,Remington,model_1,bullets_A,TF,30
1811-03-26,Remington,model_1,bullets_A,TF,30
1811-03-27,Remington,model_1,bullets_A,TF,29
1811-03-28,Remington,model_1,bullets_A,TF,30
1811-03-29,Remington,model_1,bullets_A,TF,29
1811-03-30,Remington,model_1,bullets_A,TF,29
1811-03-31,Remington,model_1,bullets_A,TF,30
1811-04-01,Remington,model_1,bullets_A,TF,31
1811-04-02,Remington,model_1,bullets_A,TF,31
1811-04-03,Remington,model_1,bullets_A,TF,28
1811-04-04,Remington,model_1,bullets_A,TF,28
1811-04-05,Remington,model_1,bullets_A,TF,28
1811-04-06,Remington,model_1,bullets_A,TF,27
1811-04-07,Remington,model_1,bullets_A,TF,26
1811-04-08,Remington,model_1,bullets_A,TF,27
1811-04-09,Remington,model_1,bullets_A,TF,26
1811-04-10,Remington,model_1,bullets_A,TF,23
1811-04-11,Remington,model_1,bullets_A,TF,21
1811-04-12,Remington,model_1,bullets_A,TF,23
1811-04-13,Remington,model_1,bullets_A,TF,23
1811-04-14,Remington,model_1,bullets_A,TF,24
1811-04-15,Remington,model_1,bullets_A,TF,23
1811-04-16,Remington,model_1,bullets_A,TF,24
1811-04-17,Remington,model_1,bullets_A,TF,24
1811-04-18,Remington,model_1,bullets_A,TF,25
1811-04-19,Remington,model_1,bullets_A,TF,25
1811-04-20,Remington,model_1,bullets_A,TF,25
1811-04-21,Remington,model_1,bullets_A,TF,24
1811-04-22,Remington,model_1,bullets_A,TF,24
1811-04-23,Remington,model_1,bullets_A,TF,25
1811-04-24,Remington,model_1,bullets_A,TF,22
1811-04-25,Remington,model_1,bullets_A,TF,21
1811-04-26,Remington,model_1,bullets_A,TF,20
1811-04-27,Remington,model_1,bullets_A,TF,21
1811-04-28,Remington,model_1,bullets_A,TF,20
1811-04-29,Remington,model_1,bullets_A,TF,21
1811-04-30,Remington,model_1,bullets_A,TF,20
1811-05-01,Remington,model_1,bullets_A,TF,19
1811-05-02,Remington,model_1,bullets_A,TF,19
1811-05-03,Remington,model_1,bullets_A,TF,19
1811-05-04,Remington,model_1,bullets_A,TF,20
1811-05-05,Remington,model_1,bullets_A,TF,18
1811-05-06,Remington,model_1,bullets_A,TF,17
1811-05-07,Remington,model_1,bullets_A,TF,16
1811-05-08,Remington,model_1,bullets_A,TF,14
1811-05-09,Remington,model_1,bullets_A,TF,15
1811-05-10,Remington,model_1,bullets_A,TF,16
1811-05-11,Remington,model_1,bullets_A,TF,17
1811-05-12,Remington,model_1,bullets_A,TF,17
1811-05-13,Remington,model_1,bullets_A,TF,16
1811-05-14,Remington,model_1,bullets_A,TF,16
1811-05-15,Remington,model_1,bullets_A,TF,17
1811-05-16,Remington,model_1,bullets_A,TF,18
1811-05-17,Remington,model_1,bullets_A,TF,20
1811-05-18,Remington,model_1,bullets_A,TF,19
1811-05-19,Remington,model_1,bullets_A,TF,19
1811-05-20,Remington,model_1,bullets_A,TF,17
1811-05-21,Remington,model_1,bullets_A,TF,16
1811-05-22,Remington,model_1,bullets_A,TF,13
1811-05-23,Remington,model_1,bullets_A,TF,13
1811-05-24,Remington,model_1,bullets_A,TF,14
1811-05-25,Remington,model_1,bullets_A,TF,15
1811-05-26,Remington,model_1,bullets_A,TF,16
1811-05-27,Remington,model_1,bullets_A,TF,18
1811-05-28,Remington,model_1,bullets_A,TF,13
1811-05-29,Remington,model_1,bullets_A,TF,11
1811-05-30,Remington,model_1,bullets_A,TF,11
1811-05-31,Remington,model_1,bullets_A,TF,13
1811-06-01,Remington,model_1,bullets_A,TF,12
1811-06-02,Remington,model_1,bullets_A,TF,12
1811-06-03,Remington,model_1,bullets_A,TF,9
1811-06-04,Remington,model_1,bullets_A,TF,11
1811-06-05,Remington,model_1,bullets_A,TF,13
1811-06-06,Remington,model_1,bullets_A,TF,12
1811-06-07,Remington,model_1,bullets_A,TF,12
1811-06-08,Remington,model_1,bullets_A,TF,13
1811-06-09,Remington,model_1,bullets_A,TF,11
1811-06-10,Remington,model_1,bullets_A,TF,9
1811-06-11,Remington,model_1,bullets_A,TF,8
1811-06-12,Remington,model_1,bullets_A,TF,7
1811-06-13,Remington,model_1,bullets_A,TF,9
1811-06-14,Remington,model_1,bullets_A,TF,6
1811-06-15,Remington,model_1,bullets_A,TF,7
1811-06-16,Remington,model_1,bullets_A,TF,6
1811-06-17,Remington,model_1,bullets_A,TF,6
1811-06-18,Remington,model_1,bullets_A,TF,6
1811-06-19,Remington,model_1,bullets_A,TF,9
1811-06-20,Remington,model_1,bullets_A,TF,9
